City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Sikeston,US,2020-10-24 01:22:59,36.88,-89.59,48.2,87,90,10.29
173,Birin,NP,2020-10-24 01:23:00,26.89,88.07,57.87,98,5,2.82
174,Nikolskoye,RU,2020-10-24 01:23:00,59.7,30.79,37.4,86,75,8.95
175,Kahului,US,2020-10-24 01:20:52,20.89,-156.47,87.8,55,40,9.17
176,Kualakapuas,ID,2020-10-24 01:23:00,-3.01,114.39,82.4,83,20,6.93
177,Faya,SA,2020-10-24 01:23:00,18.39,42.45,55.4,30,0,4.92
178,Katsuura,JP,2020-10-24 01:23:00,35.13,140.3,69.01,48,40,11.41
179,Sembe,CG,2020-10-24 01:23:01,1.65,14.58,70.25,95,100,2.44
180,Acajutla,SV,2020-10-24 01:23:01,13.59,-89.83,73.0,100,100,5.37
181,Chimbote,PE,2020-10-24 01:23:01,-9.09,-78.58,61.79,86,67,4.68
182,Ambilobe,MG,2020-10-24 01:23:01,-13.2,49.05,68.54,76,0,5.28
183,Chahal,GT,2020-10-24 01:23:01,15.75,-89.57,75.99,86,100,1.52
184,Turukhansk,RU,2020-10-24 01:23:01,65.82,87.98,8.2,95,97,9.71
185,Sorong,ID,2020-10-24 01:23:01,-0.88,131.25,83.41,79,3,6.58
186,Cam Ranh,VN,2020-10-24 01:23:01,11.92,109.16,84.2,70,40,3.36
187,Moussoro,TD,2020-10-24 01:23:02,13.64,16.49,84.56,18,98,14.14
188,Vicente Guerrero,MX,2020-10-24 01:23:02,19.12,-98.17,59.0,33,5,10.29
189,Acapulco,MX,2020-10-24 01:18:32,16.86,-99.89,84.2,79,75,4.7
190,Aldan,RU,2020-10-24 01:23:02,58.6,125.39,26.49,95,74,1.66
191,Tenenkou,ML,2020-10-24 01:23:02,14.46,-4.92,84.72,15,76,7.52
192,Visp,CH,2020-10-24 01:20:51,46.29,7.88,53.01,89,100,2.08
193,Bac Lieu,VN,2020-10-24 01:23:02,9.29,105.72,78.24,84,100,1.81
194,Elliot Lake,CA,2020-10-24 01:23:02,46.38,-82.63,39.2,80,90,17.22
195,Koygorodok,RU,2020-10-24 01:23:03,60.45,51.0,30.15,98,100,11.18
196,Qui Nhon,VN,2020-10-24 01:22:20,13.77,109.23,75.63,73,100,5.37
197,Saint George,US,2020-10-24 01:23:03,37.1,-113.58,71.6,18,1,3.36
198,Reconquista,AR,2020-10-24 01:20:14,-29.15,-59.65,70.57,94,100,10.42
199,Mayumba,GA,2020-10-24 01:23:03,-3.43,10.66,76.59,86,100,6.87
200,Khasan,RU,2020-10-24 01:23:03,42.43,130.64,43.12,59,0,28.63
201,Igarka,RU,2020-10-24 01:23:03,67.47,86.58,11.05,96,90,5.44
202,Itaituba,BR,2020-10-24 01:23:04,-4.28,-55.98,77.92,81,24,2.46
203,Geraldton,AU,2020-10-24 01:23:04,-28.77,114.6,82.4,20,0,11.41
204,Kailua,US,2020-10-24 01:22:18,21.4,-157.74,80.01,83,90,9.19
205,Lavumisa,SZ,2020-10-24 01:23:04,-27.31,31.89,64.11,89,100,1.16
206,Zonguldak,TR,2020-10-24 01:23:04,41.25,31.83,57.49,54,0,3.96
207,Puerto Baquerizo Moreno,EC,2020-10-24 01:22:28,-0.9,-89.6,69.31,86,9,8.93
